mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric,region_rf
1,1450,6,mae,standard,49.482508274966804,5,0.27880046922525026,pre0_mod050_post0,Zero_Flow_Days_sum,National
1,1450,6,rmse,standard,68.54551282288593,5,0.6915307270330073,pre0_mod050_post0,Zero_Flow_Days_sum,National
1,1450,6,rsq,standard,0.5743346094486399,5,0.017831963617556103,pre0_mod050_post0,Zero_Flow_Days_sum,National
1,1450,9,mae,standard,50.15253426197868,5,0.28889636616549247,pre0_mod051_post0,Zero_Flow_Days_sum,National
1,1450,9,rmse,standard,69.09314667045082,5,0.6862184914014254,pre0_mod051_post0,Zero_Flow_Days_sum,National
1,1450,9,rsq,standard,0.5697763024821437,5,0.018020405466987174,pre0_mod051_post0,Zero_Flow_Days_sum,National
1,1450,12,mae,standard,50.82269770806469,5,0.3098912754244617,pre0_mod052_post0,Zero_Flow_Days_sum,National
1,1450,12,rmse,standard,69.680656249101375,5,0.740459838714731,pre0_mod052_post0,Zero_Flow_Days_sum,National
1,1450,12,rsq,standard,0.5634878997659206,5,0.018110302188588258,pre0_mod052_post0,Zero_Flow_Days_sum,National
1,1450,15,mae,standard,51.39369842290716,5,0.33310117895588337,pre0_mod053_post0,Zero_Flow_Days_sum,National
1,1450,15,rmse,standard,70.18533128199151,5,0.7380137743815496,pre0_mod053_post0,Zero_Flow_Days_sum,National
1,1450,15,rsq,standard,0.5590634759035062,5,0.018192433528173447,pre0_mod053_post0,Zero_Flow_Days_sum,National
1,1450,18,mae,standard,51.902100954390775,5,0.32147127540224907,pre0_mod054_post0,Zero_Flow_Days_sum,National
1,1450,18,rmse,standard,70.64953734151776,5,0.7426127516598772,pre0_mod054_post0,Zero_Flow_Days_sum,National
1,1450,18,rsq,standard,0.5538419931849583,5,0.018511412582235546,pre0_mod054_post0,Zero_Flow_Days_sum,National
1,1450,21,mae,standard,52.42963958066134,5,0.33162327970683175,pre0_mod055_post0,Zero_Flow_Days_sum,National
1,1450,21,rmse,standard,71.16675914577945,5,0.767331097102912,pre0_mod055_post0,Zero_Flow_Days_sum,National
1,1450,21,rsq,standard,0.5486521686715556,5,0.01888933720569127,pre0_mod055_post0,Zero_Flow_Days_sum,National
1,1450,25,mae,standard,52.98735024146729,5,0.3243282461860137,pre0_mod056_post0,Zero_Flow_Days_sum,National
1,1450,25,rmse,standard,71.66575301033483,5,0.7541569316341296,pre0_mod056_post0,Zero_Flow_Days_sum,National
1,1450,25,rsq,standard,0.5432571495549651,5,0.018654638145742006,pre0_mod056_post0,Zero_Flow_Days_sum,National
1,1650,3,mae,standard,48.79658439722828,5,0.2873798038627253,pre0_mod057_post0,Zero_Flow_Days_sum,National
1,1650,3,rmse,standard,67.94531019805345,5,0.698032367048217,pre0_mod057_post0,Zero_Flow_Days_sum,National
1,1650,3,rsq,standard,0.5805737784194086,5,0.01751268453495452,pre0_mod057_post0,Zero_Flow_Days_sum,National
1,1650,6,mae,standard,49.54888825883913,5,0.2887798996831287,pre0_mod058_post0,Zero_Flow_Days_sum,National
1,1650,6,rmse,standard,68.56901400945905,5,0.6791532110694523,pre0_mod058_post0,Zero_Flow_Days_sum,National
1,1650,6,rsq,standard,0.5745171828603195,5,0.017619522924744217,pre0_mod058_post0,Zero_Flow_Days_sum,National
1,1650,9,mae,standard,50.13596395146594,5,0.29764899320099614,pre0_mod059_post0,Zero_Flow_Days_sum,National
1,1650,9,rmse,standard,69.09037425477234,5,0.7108904944320247,pre0_mod059_post0,Zero_Flow_Days_sum,National
1,1650,9,rsq,standard,0.5695869811582523,5,0.017819719686639868,pre0_mod059_post0,Zero_Flow_Days_sum,National
1,1650,12,mae,standard,50.80378638032338,5,0.3108579014610277,pre0_mod060_post0,Zero_Flow_Days_sum,National
1,1650,12,rmse,standard,69.69666940035668,5,0.730294734253661,pre0_mod060_post0,Zero_Flow_Days_sum,National
