mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric
1,1250,21,mae,standard,0.11844346339751878,5,0.004652650629013799,pre0_mod047_post0,tau_Zero_Flow_Days_sum
1,1250,21,rmse,standard,0.15601330633192428,5,0.006330296511574438,pre0_mod047_post0,tau_Zero_Flow_Days_sum
1,1250,21,rsq,standard,0.14165324109120905,5,0.05478369283085548,pre0_mod047_post0,tau_Zero_Flow_Days_sum
1,1250,25,mae,standard,0.11802932004980195,5,0.0048888651913104614,pre0_mod048_post0,tau_Zero_Flow_Days_sum
1,1250,25,rmse,standard,0.1560487139162836,5,0.006285767408622835,pre0_mod048_post0,tau_Zero_Flow_Days_sum
1,1250,25,rsq,standard,0.14463963889967754,5,0.05518918966261068,pre0_mod048_post0,tau_Zero_Flow_Days_sum
1,1450,3,mae,standard,0.1167515733220391,5,0.0047723166260701545,pre0_mod049_post0,tau_Zero_Flow_Days_sum
1,1450,3,rmse,standard,0.15581187077714648,5,0.0058795611285153435,pre0_mod049_post0,tau_Zero_Flow_Days_sum
1,1450,3,rsq,standard,0.13682970600421496,5,0.048558169807068806,pre0_mod049_post0,tau_Zero_Flow_Days_sum
1,1450,6,mae,standard,0.11729081652920305,5,0.00467495722425717,pre0_mod050_post0,tau_Zero_Flow_Days_sum
1,1450,6,rmse,standard,0.15595796799395986,5,0.005842870575271048,pre0_mod050_post0,tau_Zero_Flow_Days_sum
1,1450,6,rsq,standard,0.13649393571456286,5,0.050339771441970535,pre0_mod050_post0,tau_Zero_Flow_Days_sum
1,1450,9,mae,standard,0.11694490220278042,5,0.004773112298535238,pre0_mod051_post0,tau_Zero_Flow_Days_sum
1,1450,9,rmse,standard,0.15582312178564772,5,0.006104177453510481,pre0_mod051_post0,tau_Zero_Flow_Days_sum
1,1450,9,rsq,standard,0.13897064889740376,5,0.05118320020423765,pre0_mod051_post0,tau_Zero_Flow_Days_sum
1,1450,12,mae,standard,0.11713238308288625,5,0.004648848000847658,pre0_mod052_post0,tau_Zero_Flow_Days_sum
1,1450,12,rmse,standard,0.1556591056513933,5,0.006108046033582589,pre0_mod052_post0,tau_Zero_Flow_Days_sum
1,1450,12,rsq,standard,0.14198428488382686,5,0.05052470906754504,pre0_mod052_post0,tau_Zero_Flow_Days_sum
1,1450,15,mae,standard,0.11714128247238843,5,0.0047975196792316484,pre0_mod053_post0,tau_Zero_Flow_Days_sum
1,1450,15,rmse,standard,0.15537261466648433,5,0.006209760895957802,pre0_mod053_post0,tau_Zero_Flow_Days_sum
1,1450,15,rsq,standard,0.14847520643807297,5,0.05440009478050997,pre0_mod053_post0,tau_Zero_Flow_Days_sum
1,1450,18,mae,standard,0.11749760870016518,5,0.0046312860620713265,pre0_mod054_post0,tau_Zero_Flow_Days_sum
1,1450,18,rmse,standard,0.15579521318256914,5,0.006251389823361956,pre0_mod054_post0,tau_Zero_Flow_Days_sum
1,1450,18,rsq,standard,0.1449085409941502,5,0.05311190050197663,pre0_mod054_post0,tau_Zero_Flow_Days_sum
1,1450,21,mae,standard,0.11778310627370557,5,0.004679860527690041,pre0_mod055_post0,tau_Zero_Flow_Days_sum
1,1450,21,rmse,standard,0.15615567736743938,5,0.006163992610651461,pre0_mod055_post0,tau_Zero_Flow_Days_sum
1,1450,21,rsq,standard,0.14188700787221312,5,0.05267733309936533,pre0_mod055_post0,tau_Zero_Flow_Days_sum
1,1450,25,mae,standard,0.11790289153518088,5,0.004873203895161132,pre0_mod056_post0,tau_Zero_Flow_Days_sum
1,1450,25,rmse,standard,0.15592359224788005,5,0.006541649715720437,pre0_mod056_post0,tau_Zero_Flow_Days_sum
1,1450,25,rsq,standard,0.1466532954099989,5,0.05642746257328455,pre0_mod056_post0,tau_Zero_Flow_Days_sum
1,1650,3,mae,standard,0.11683863685040902,5,0.004596824249183203,pre0_mod057_post0,tau_Zero_Flow_Days_sum
1,1650,3,rmse,standard,0.15546932130674226,5,0.005838117111909676,pre0_mod057_post0,tau_Zero_Flow_Days_sum
1,1650,3,rsq,standard,0.14058785930225348,5,0.047339303646458504,pre0_mod057_post0,tau_Zero_Flow_Days_sum
1,1650,6,mae,standard,0.11709615523261431,5,0.004601668372924264,pre0_mod058_post0,tau_Zero_Flow_Days_sum
1,1650,6,rmse,standard,0.1559082684588845,5,0.005872110459556742,pre0_mod058_post0,tau_Zero_Flow_Days_sum
1,1650,6,rsq,standard,0.13581021900540519,5,0.04879342963086092,pre0_mod058_post0,tau_Zero_Flow_Days_sum
1,1650,9,mae,standard,0.11710013946972715,5,0.0047795549279137485,pre0_mod059_post0,tau_Zero_Flow_Days_sum
1,1650,9,rmse,standard,0.15547494253937702,5,0.005944350282220298,pre0_mod059_post0,tau_Zero_Flow_Days_sum
1,1650,9,rsq,standard,0.14190416224383948,5,0.048818253568167616,pre0_mod059_post0,tau_Zero_Flow_Days_sum
1,1650,12,mae,standard,0.1168799710782053,5,0.0048865343389194625,pre0_mod060_post0,tau_Zero_Flow_Days_sum
1,1650,12,rmse,standard,0.1555096374945478,5,0.006278421438667604,pre0_mod060_post0,tau_Zero_Flow_Days_sum
1,1650,12,rsq,standard,0.14493743789522806,5,0.05387799641067757,pre0_mod060_post0,tau_Zero_Flow_Days_sum
1,1650,15,mae,standard,0.11762512272733244,5,0.004677668775531225,pre0_mod061_post0,tau_Zero_Flow_Days_sum
1,1650,15,rmse,standard,0.15603220060957326,5,0.006028608466064732,pre0_mod061_post0,tau_Zero_Flow_Days_sum
1,1650,15,rsq,standard,0.1384760681600136,5,0.05243544455709066,pre0_mod061_post0,tau_Zero_Flow_Days_sum
1,1650,18,mae,standard,0.11748414032170215,5,0.004612272373574962,pre0_mod062_post0,tau_Zero_Flow_Days_sum
1,1650,18,rmse,standard,0.1558424731985336,5,0.006213009430818399,pre0_mod062_post0,tau_Zero_Flow_Days_sum
1,1650,18,rsq,standard,0.14295044648129207,5,0.05344527255395067,pre0_mod062_post0,tau_Zero_Flow_Days_sum
1,1650,21,mae,standard,0.11786498515747883,5,0.004866003623942381,pre0_mod063_post0,tau_Zero_Flow_Days_sum
1,1650,21,rmse,standard,0.15606866087550542,5,0.00629343064665749,pre0_mod063_post0,tau_Zero_Flow_Days_sum
1,1650,21,rsq,standard,0.14452505601339766,5,0.05558335898039776,pre0_mod063_post0,tau_Zero_Flow_Days_sum
1,1650,25,mae,standard,0.11827082370529379,5,0.004706518984103939,pre0_mod064_post0,tau_Zero_Flow_Days_sum
1,1650,25,rmse,standard,0.15646995768794716,5,0.006224398111579631,pre0_mod064_post0,tau_Zero_Flow_Days_sum
1,1650,25,rsq,standard,0.1415175947836732,5,0.054413173902416886,pre0_mod064_post0,tau_Zero_Flow_Days_sum
2,250,3,mae,standard,0.11780564343200306,5,0.00472122951774669,pre0_mod065_post0,tau_Zero_Flow_Days_sum
2,250,3,rmse,standard,0.15688162294048047,5,0.005665480829450518,pre0_mod065_post0,tau_Zero_Flow_Days_sum
2,250,3,rsq,standard,0.11978852977159704,5,0.04291631282000728,pre0_mod065_post0,tau_Zero_Flow_Days_sum
2,250,6,mae,standard,0.11814410520329255,5,0.005064982735776156,pre0_mod066_post0,tau_Zero_Flow_Days_sum
2,250,6,rmse,standard,0.157212748436788,5,0.005844462853461896,pre0_mod066_post0,tau_Zero_Flow_Days_sum
2,250,6,rsq,standard,0.12378197267709506,5,0.05411184347521514,pre0_mod066_post0,tau_Zero_Flow_Days_sum
2,250,9,mae,standard,0.11558641681185373,5,0.004945576049667044,pre0_mod067_post0,tau_Zero_Flow_Days_sum
2,250,9,rmse,standard,0.15532830504448672,5,0.005994614617900448,pre0_mod067_post0,tau_Zero_Flow_Days_sum
2,250,9,rsq,standard,0.13940472065056148,5,0.04468974315095139,pre0_mod067_post0,tau_Zero_Flow_Days_sum
2,250,12,mae,standard,0.11676465473959596,5,0.004552154724094719,pre0_mod068_post0,tau_Zero_Flow_Days_sum
2,250,12,rmse,standard,0.1561182441590814,5,0.006099841795325111,pre0_mod068_post0,tau_Zero_Flow_Days_sum
2,250,12,rsq,standard,0.12916934232708963,5,0.04440151780820419,pre0_mod068_post0,tau_Zero_Flow_Days_sum
2,250,15,mae,standard,0.11635651379286778,5,0.0051230500224555215,pre0_mod069_post0,tau_Zero_Flow_Days_sum
