metric,region,n,OOBmse,OOBr2
hydro_doy,Humid,24,7560.145847881466,0.0980672609924752
hydro_doy,Humid,26,7408.973030820884,0.11610232482568716
hydro_doy,Humid,28,7509.722581681678,0.10408280560078775
hydro_doy,Humid,30,7592.14631215111,0.08879078415679764
hydro_doy,Humid,32,7526.070920769368,0.09672115102434953
hydro_doy,Humid,34,7474.073132548668,0.10296192430269546
hydro_doy,Humid,36,7527.526470911664,0.09654645593165101
hydro_doy,Humid,38,7689.624705217348,0.07709142979038053
hydro_doy,Humid,40,7479.684161838954,0.1022884887036617
hydro_doy,Humid,42,7565.251712186819,0.09201867339078873
hydro_doy,Humid,44,7516.279541170801,0.09789631216577188
hydro_doy,Humid,46,7490.6303607296295,0.10097472617887049
hydro_doy,Humid,48,7552.073916280651,0.09360027213513622
hydro_doy,Humid,50,7481.877751335151,0.10202521414564747
hydro_doy,Dry_sub_humid,10,10044.699515983863,0.16708644869995548
hydro_doy,Dry_sub_humid,12,9889.549643868995,0.1799515852589244
hydro_doy,Dry_sub_humid,14,9725.758213090641,0.19353328594245667
hydro_doy,Dry_sub_humid,16,9394.735896573937,0.22098188933479912
hydro_doy,Dry_sub_humid,18,9598.867949964933,0.2040551158406284
hydro_doy,Dry_sub_humid,20,9535.17025675505,0.209336973379188
hydro_doy,Dry_sub_humid,22,9797.505107887924,0.18758398294486445
hydro_doy,Dry_sub_humid,24,9874.75544242182,0.1811783308521009
hydro_doy,Dry_sub_humid,26,9677.544136948927,0.19753123105947512
hydro_doy,Dry_sub_humid,28,9818.189123763435,0.18586884979522633
hydro_doy,Dry_sub_humid,30,9974.022606006061,0.1729470278034766
hydro_doy,Dry_sub_humid,32,9844.77905114902,0.1836639943077828
hydro_doy,Dry_sub_humid,34,10101.80077066261,0.16235157248564136
hydro_doy,Dry_sub_humid,36,10020.190521784396,0.1691187517434647
hydro_doy,Dry_sub_humid,38,10047.689622996306,0.16683850692264912
hydro_doy,Dry_sub_humid,40,10211.547079374195,0.15325133134994784
hydro_doy,Dry_sub_humid,42,10188.772845468904,0.15513978684928942
hydro_doy,Dry_sub_humid,44,10087.624892822258,0.16352704625028858
hydro_doy,Dry_sub_humid,46,10246.889534612461,0.15032071009469528
hydro_doy,Dry_sub_humid,48,10356.586037951878,0.14122459885550498
hydro_doy,Dry_sub_humid,50,10263.184065544012,0.14896955612504492
hydro_doy,Semi_arid,10,6916.893009675678,0.1024446799631864
